YEAR,LATITUDE,LONGITUDE,COUNTRY
2015,-32.4127,-52.3555,Brazil
2015,-32.3689,-52.342,Brazil
2015,-32.4145,-52.3729,Brazil
-1,-2.9066,-38.9909,Brazil
2024,-30.8213,-55.531,Brazil
2017,-11.7965,-41.3934,Brazil
2017,-11.7334,-41.373,Brazil
2017,-11.6643,-41.362,Brazil
2017,-13.9312,-41.5609,Brazil
2017,-13.9701,-41.5502,Brazil
2017,-14.0095,-41.5333,Brazil
2021,-5.1526,-35.7646,Brazil
2021,-5.1813,-35.7806,Brazil
2021,-5.1319,-35.8098,Brazil
2021,-5.1601,-35.7833,Brazil
2021,-5.1458,-35.7989,Brazil
2014,-13.9101,-42.6241,Brazil
2014,-13.9185,-42.6205,Brazil
2018,-5.1034,-35.9031,Brazil
2018,-5.0924,-35.9073,Brazil
2018,-5.0828,-35.9552,Brazil
2018,-5.0575,-36.0146,Brazil
2018,-5.0681,-36.0145,Brazil
2019,-5.0848,-35.9444,Brazil
2018,-5.0619,-35.9048,Brazil
2017,-10.0575,-40.9787,Brazil
2017,-10.0369,-40.9586,Brazil
2017,-10.0044,-40.9342,Brazil
2017,-10.0229,-40.9284,Brazil
2017,-10.0286,-40.9526,Brazil
2017,-9.986,-40.9111,Brazil
2019,-9.9698,-40.8816,Brazil
2017,-2.6716,-42.6205,Brazil
2017,-2.6278,-42.6643,Brazil
2017,-2.661,-42.6328,Brazil
2017,-2.6577,-42.6141,Brazil
2017,-2.6401,-42.6373,Brazil
2017,-2.6298,-42.648,Brazil
2017,-2.6184,-42.658,Brazil
2017,-2.6672,-42.6427,Brazil
2018,-2.669,-42.595,Brazil
2018,-2.6848,-42.571,Brazil
2019,-2.7004,-42.5582,Brazil
2019,-2.7058,-42.5336,Brazil
2019,-2.6805,-42.6007,Brazil
2019,-2.6974,-42.5898,Brazil
2019,-2.7011,-42.571,Brazil
2014,-2.8371,-41.7074,Brazil
2014,-2.8401,-41.727,Brazil
2014,-2.8206,-41.7418,Brazil
2016,-2.8437,-41.701,Brazil
2016,-2.8159,-41.7832,Brazil
2016,-2.8002,-41.7924,Brazil
2014,-5.3655,-35.8621,Brazil
2014,-5.3971,-35.8748,Brazil
2012,-3.4368,-38.9853,Brazil
2024,-6.9697,-36.7591,Brazil
2023,-6.9689,-36.7932,Brazil
2024,-6.9613,-36.7859,Brazil
2023,-6.9731,-36.8014,Brazil
2023,-6.9705,-36.7457,Brazil
2023,-7.0019,-36.8001,Brazil
2012,-5.4187,-35.954,Brazil
2012,-5.4485,-35.9558,Brazil
2013,-9.5175,-40.8864,Brazil
2013,-9.4986,-40.879,Brazil
2016,-6.1353,-36.722,Brazil
2016,-6.0043,-36.4353,Brazil
2016,-6.0565,-36.5804,Brazil
2016,-6.1014,-36.5786,Brazil
2016,-6.0248,-36.5119,Brazil
2020,-5.1436,-37.022,Brazil
2020,-5.1328,-37.0221,Brazil
2020,-5.1396,-37.0624,Brazil
2018,-5.4928,-36.0037,Brazil
2018,-5.4948,-35.9875,Brazil
2017,-5.9142,-36.3092,Brazil
2017,-5.8876,-36.2893,Brazil
2019,-5.5404,-35.9969,Brazil
2018,-9.5029,-40.9142,Brazil
2020,-5.1006,-37.0645,Brazil
2020,-5.162,-37.0601,Brazil
2020,-5.1775,-37.0776,Brazil
2020,-5.0973,-37.1053,Brazil
2020,-5.098,-37.0781,Brazil
2022,-5.1718,-37.0928,Brazil
2022,-5.1869,-37.1132,Brazil
2022,-5.1877,-37.1357,Brazil
2022,-5.1994,-37.1536,Brazil
2022,-5.2252,-37.1547,Brazil
2022,-5.2347,-37.1342,Brazil
2011,-30.0791,-50.1721,Brazil
2014,-3.2147,-39.3288,Brazil
2018,-4.5921,-37.7139,Brazil
2018,-4.6006,-37.6489,Brazil
2018,-4.5945,-37.682,Brazil
2018,-4.6566,-37.6123,Brazil
2018,-4.6228,-37.6904,Brazil
2015,-5.3919,-35.8331,Brazil
2014,-3.3218,-39.2671,Brazil
2014,-3.3189,-39.2397,Brazil
2014,-3.3478,-39.2651,Brazil
2014,-3.3218,-39.2671,Brazil
2014,-3.3699,-39.2621,Brazil
2021,-10.2651,-40.4306,Brazil
2021,-10.2431,-40.4245,Brazil
2020,-10.442,-40.4617,Brazil
2020,-10.4286,-40.5069,Brazil
2020,-10.4736,-40.524,Brazil
2020,-10.387,-40.4589,Brazil
2020,-10.2898,-40.4341,Brazil
2021,-10.411,-40.4664,Brazil
2020,-10.3227,-40.4367,Brazil
2020,-10.3448,-40.4378,Brazil
2020,-10.3678,-40.4422,Brazil
2020,-10.3105,-40.4404,Brazil
2021,-9.0365,-38.0999,Brazil
2021,-9.0167,-38.0747,Brazil
2015,-9.0625,-38.1186,Brazil
2015,-9.0672,-38.1448,Brazil
2015,-9.0187,-38.056,Brazil
2020,-4.433,-37.8162,Brazil
2020,-4.4274,-37.8709,Brazil
2020,-4.4512,-37.8677,Brazil
2020,-4.4393,-37.8394,Brazil
2020,-4.4998,-37.8093,Brazil
2019,-14.419,-42.6419,Brazil
2021,-14.4127,-42.6498,Brazil
