Capacity (MW),Status,Start Year,Latitude,Longitude
39.0,Construction,-1.0,-5.6809,-36.303
39.0,Construction,-1.0,-5.6874,-36.2743
39.0,Construction,-1.0,-5.7204,-36.287
39.0,Construction,-1.0,-5.7289,-36.2895
39.0,Construction,-1.0,-5.7414,-36.2983
30.0,Operating,2016.0,-6.0339,-36.544
30.0,Operating,2016.0,-6.0166,-36.4835
30.0,Operating,2016.0,-6.0489,-36.546
30.0,Operating,2016.0,-6.0236,-36.472
30.0,Operating,2016.0,-6.0303,-36.488
30.0,Operating,2016.0,-6.0005,-36.4498
30.0,Operating,2016.0,-6.0535,-36.4556
24.0,Operating,2016.0,-6.0428,-36.464
30.0,Operating,2016.0,-7.3047,-40.5301
30.0,Operating,2017.0,-7.3034,-40.5363
30.0,Operating,2017.0,-7.307,-40.555
30.0,Operating,2017.0,-7.2986,-40.5557
30.0,Operating,2017.0,-7.3301,-40.5901
30.0,Operating,2017.0,-7.3292,-40.5812
30.0,Operating,2017.0,-7.3546,-40.6026
25.0,Operating,2016.0,-5.3536,-35.9344
25.0,Operating,2016.0,-5.3356,-35.9669
25.0,Operating,2016.0,-5.3242,-35.9436
29.0,Operating,2016.0,-5.2798,-35.8006
27.0,Operating,2016.0,-5.2937,-35.7893
25.0,Operating,2016.0,-5.2071,-35.8232
29.0,Operating,2016.0,-5.2338,-35.7903
29.0,Operating,2016.0,-5.2263,-35.7852
15.0,Operating,2016.0,-5.2779,-35.7809
30.0,Operating,2014.0,-5.3201,-35.9322
34.0,Operating,2021.0,-10.5067,-41.4868
17.0,Operating,2021.0,-10.4027,-41.4464
55.0,Operating,2021.0,-10.4054,-41.4486
42.0,Operating,2021.0,-10.4025,-41.4935
21.0,Operating,2021.0,-10.4468,-41.5008
29.0,Operating,2021.0,-10.463,-41.5141
34.0,Operating,2021.0,-10.4409,-41.5723
38.0,Operating,2021.0,-10.4805,-41.5769
34.0,Operating,2021.0,-10.5094,-41.6117
34.0,Operating,2021.0,-10.5366,-41.3932
25.0,Operating,2021.0,-10.4626,-41.394
30.0,Operating,2018.0,-10.4654,-41.4935
30.0,Operating,2018.0,-10.4891,-41.4345
30.0,Operating,2018.0,-10.4408,-41.4676
30.0,Operating,2018.0,-10.4184,-41.4799
30.0,Operating,2018.0,-10.511,-41.4545
30.0,Operating,2018.0,-10.4496,-41.4481
30.0,Operating,2018.0,-10.5029,-41.5401
30.0,Operating,2018.0,-10.4898,-41.5115
30.0,Operating,2018.0,-10.423,-41.4285
30.0,Operating,2018.0,-10.4211,-41.3957
30.0,Operating,2018.0,-10.5229,-41.4936
33.0,Operating,2017.0,-9.2706,-41.0501
28.0,Operating,2018.0,-9.3148,-41.1175
27.0,Operating,2020.0,-9.2602,-41.0168
27.0,Construction,-1.0,-9.2602,-41.0168
1920.0,Accounced,-1.0,-32.2001,-52.1436
50.0,Construction,2025.0,-5.3433,-36.1942
50.0,Construction,2025.0,-5.3785,-36.2072
28.0,Operating,2018.0,-2.843,-40.0631
30.0,Operating,2012.0,-30.8407,-55.7251
30.0,Operating,2011.0,-30.8485,-55.6856
30.0,Operating,2011.0,-30.8018,-55.7142
10.0,Operating,2014.0,-30.8348,-55.7568
12.0,Operating,2014.0,-30.7974,-55.7562
24.0,Operating,2014.0,-30.783,-55.6905
10.0,Operating,2015.0,-30.9163,-55.7084
30.0,Operating,2015.0,-30.8879,-55.7353
25.0,Operating,2015.0,-30.7709,-55.6629
35.0,Operating,2021.0,-6.9729,-36.8793
